"tweet_id","tweet_text","yes","no","dont_know","review_accepts","review_rejects","agreed","should_be_added"
"852101748399452160","@AdzunaVacatures tweeted: #zoektwerk #werk #delft Facility Receptionist https://t.co/0XxZIBR5wT",0,0,0,0,0,true,false
"852104607912402945","@_Zoetermeer tweeted: Bouw nieuwe ontvangstruimte onder de grond bij de Nieuwe Kerk #Delft mag doorgaan Uitspraak over de omgevingsvergunning die het college van…",0,0,0,0,0,true,false
"852098508303683584","@Technicus_nl tweeted: #Vacature #Delft @vnomrotterdam | Storings- en Onderhoudsmonteur: Binnen onze vestigingen wordt gewerkt met de…… https://t.co/YDY73bBWuA",0,0,0,0,0,true,false
"852092724635480064","@_Delft tweeted: Skeletten moeten wijken voor nieuwbouw Nieuwe Kerk #Delft De bouw van een ontvangstruimte onder de Nieuwe Kerk in … https://t.co/hoOxMOZdfO",0,0,0,0,0,true,false
"852090274734100480","@_Delft tweeted: Deel het met #Delft: Lotte wint brons op NK #Judo Delftsepost.nl - De 14-jarige Lotte Schutjes (derde van links) i… https://t.co/Vq9K8xyFwN",0,0,0,0,0,true,false
"852083637507850241","@Joofvacature tweeted: Vacature: Genius in Den Haag https://t.co/vd4Je3Acnl #delft #vacature #banen",0,0,0,0,0,true,false
"852085193057939456","@_Delft tweeted: Politie zoekt verdachten van mishandeling en beroving in #Delft De Delftse #politie is op zoek naar twee mannen di… https://t.co/wgr5fZJlDQ",0,0,0,0,0,true,false
"852072967995523072","@Luciededelft tweeted: Heel blij met matches gemaakt tijdens #beursvloer #Delft Ildiko Wooning en ik namens @delftmama Bedankt Delftse Uit… https://t.co/Q8NjcVSH4A",0,0,0,0,0,true,false
"852082634633207808","@nieuws_delft tweeted: Fietsenstalling 22 mei open https://t.co/rsjvkC6QPP #delft",0,0,0,0,0,true,false
"852068858076819456","@FerrieForster tweeted: Met @VanBijsterveldt op bezoek bij een van de eerste bewoners van de Coendersbuurt. Wat is het mooi geworden en wat… https://t.co/defNdxurNc",0,0,0,0,0,true,false
"852067622132776960","@CasperHVNL tweeted: RT @POL_DenHaag: Herkent u de daders van beroving en mishandeling in nachttrein naar #Delft? Bel 0800-6070 of anoniem 0800-7000 \nhttps://t.…",0,0,0,0,0,true,false
"852061871553343488","@teamwest_tv tweeted: RT @POL_DenHaag: Herkent u de daders van beroving en mishandeling in nachttrein naar #Delft? Bel 0800-6070 of anoniem 0800-7000 \nhttps://t.…",0,0,0,0,0,true,false
