"tweet_id","tweet_text","yes","no","dont_know"
"850962073299415040","@JeffreyKeus tweeted: RT @regio15: Meerdere auto’s in brand in #Delft #Nijverheidsstraat #Vorrinkplein https://t.co/gEImsdltAz https://t.co/DmPDvLxhx7",0,0,0
"850972050655256576","@jobbirdjobs tweeted: #werk #baan #delft Sales Manager - Noord Oost Nederland https://t.co/toBP09gDiQ",0,0,0
"850976207982256128","@_Delft tweeted: Auto´s in vlammen op in #DenHaag en #Delft Op de Borstelbies in de Haagse wijk Ypenburg zijn drie auto´s afgebrand… https://t.co/jkepkWh6d3",0,0,0
"850846982952407040","@asmedianl tweeted: Brandweer rukt uit voor autobrand Nijverheidsdwarsstraat #Delft Zuid-Holland Brand https://t.co/1kP5jDXkld https://t.co/hkwppGuHOf",0,0,0
"851034462733422593","@POLdeJonge tweeted: RT @MindelBlokhuize: Nog steeds #Vermist Britney 16 jr uit #Leiden! 5 april 14.53 in #Delft in trein gestapt om #Leiden te gaan. Uitgecheck…",0,0,0
"851026207412031488","@vacatures_hotel tweeted: Ervaren assistent manager front office (PT/FT), Casa Julia, #Delft #vacatures #vacature #hotel https://t.co/j0x75fYvHI",0,0,0
"851020893937688576","@_DenHaag tweeted: Recherche onderzoekt autobranden #Delft https://t.co/yIgxxrDorr De recherche van politiebureau #Delft onderzoekt autobranden die in de nac…",0,0,0
"851026205683974144","@vacatures_hotel tweeted: Hotelstage HBO Meeloop: Marketing &amp; Projecten, Casa Julia, #Delft #vacatures #vacature #hotel https://t.co/UShzOqEYwa",0,0,0
"851007871160647680","@Delft20 tweeted: Autobranden in de regio; een kort overzicht (Omroep West), zie https://t.co/AQeP5p2PGJ #Delft",0,0,0
"851006293921943552","@_Delft tweeted: Autobranden in de regio; een kort overzicht #DenHaag, #Nootdorp en #Delft worden de laatste weken geteisterd door … https://t.co/9ePq9yq7y6",0,0,0
"850983396155080704","@zuidhollanders tweeted: #Delft - Recherche onderzoekt autobranden: De recherche van politiebureau Delft onderzoekt autobranden die in de… https://t.co/Qtg2o699mU",0,0,0
"850991536766689282","@Delft20 tweeted: Parkeervergunning (Onafhankelijk Delft), zie https://t.co/AQeP5p2PGJ #Delft",0,0,0
"851004789785739265","@winkeljobs tweeted: #Vacature Bijbaan als Versmedewerker bij Dirk Delft in #Delft - Dirk #Bijbaan Zie: https://t.co/yw9f0fxCua",0,0,0
"850970652223918081","@MaryLou60s tweeted: RT @dupasseaupresen: Delft Duck Figurine #folkart #collectibles #farmhouse #homedecor #duck #handmade #delft #wiseshopper  https://t.co/2zL…",0,0,0
